Variable,Consortium Aggregate,University of Pennsylvania,Oregon Health & Science University,Rush University,Johns Hopkins University,University of California San Francisco,Emory University,Northwestern University,University of Toronto,University of Chicago,University of Minnesota,MIMIC IV,University of Michigan
Sex n (%): Nonbinary,1 (0.0),,,,,,,,,,1 (0.0%),,
Initial mode for IMV n (%): assist control-pressure control,538 (0.1),,,,,,,,538 (6.8%),,,,
Sex n (%): X,1 (0.0),,,,,,,,,,1 (0.0%),,
Initial mode for IMV n (%): aprv,46 (0.0),,,,,,,,,,46 (0.1%),,
First location of intubation n (%): rehab,135 (0.0),,,,,135 (0.6%),,,,,,,
First location of intubation n (%): l&d,44 (0.0),,,2 (0.0%),,3 (0.0%),33 (0.1%),,,,3 (0.0%),3 (0.0%),
Ethnicity n (%): Missing,493 (0.1),,,,,,,,,27 (0.1%),,,466 (1.3%)
"Angiotensin dose, median [Q1,Q3]","0.0 [0.0,0.0]",,,,,"0.01 [0.01,0.01]","0.01 [0.00,0.03]","0.03 [0.01,0.05]",,"0.02 [0.01,0.04]","0.03 [0.01,0.04]","0.03 [0.01,0.04]","0.02 [0.01,0.04]"
Admission Location n (%): psych,8 (0.0),,,,,,,,,,8 (0.0%),,
Admission Location n (%): hospice,2 (0.0),,,,,,2 (0.0%),,,,,,
Race n (%): Missing,1231 (0.1),,86 (0.2%),,,472 (0.9%),,,,27 (0.1%),,,646 (1.9%)
Admission Location n (%): dialysis,3 (0.0),,1 (0.0%),,,,2 (0.0%),,,,,,
