Variable,Overall,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Initial mode for IMV n (%): pressure support/cpap,1025 (2.2%),47 (3.2%),59 (2.3%),67 (2.5%),84 (2.8%),82 (2.5%),95 (2.5%),72 (1.9%),81 (2.1%),78 (2.0%),67 (1.5%),82 (2.0%),80 (2.2%),62 (1.8%),69 (2.2%)
Initial mode for IMV n (%): Missing,677 (1.4%),25 (1.7%),53 (2.1%),58 (2.1%),60 (2.0%),49 (1.5%),65 (1.7%),61 (1.6%),57 (1.5%),81 (2.1%),40 (0.9%),36 (0.9%),34 (0.9%),26 (0.8%),32 (1.0%)
Initial mode for IMV n (%): pressure control,479 (1.0%),7 (0.5%),7 (0.3%),14 (0.5%),23 (0.8%),15 (0.5%),37 (1.0%),41 (1.1%),57 (1.5%),34 (0.9%),70 (1.6%),60 (1.5%),56 (1.6%),33 (1.0%),25 (0.8%)
Initial mode for IMV n (%): pressure-regulated volume control,397 (0.8%),4 (0.3%),6 (0.2%),6 (0.2%),10 (0.3%),42 (1.3%),55 (1.5%),46 (1.2%),50 (1.3%),55 (1.4%),69 (1.6%),37 (0.9%),6 (0.2%),2 (0.1%),9 (0.3%)
Initial mode for IMV n (%): other,260 (0.6%),5 (0.3%),18 (0.7%),10 (0.4%),5 (0.2%),7 (0.2%),5 (0.1%),13 (0.3%),12 (0.3%),14 (0.4%),8 (0.2%),20 (0.5%),41 (1.1%),37 (1.1%),65 (2.0%)
Initial mode for IMV n (%): aprv,46 (0.1%),,3 (0.1%),2 (0.1%),4 (0.1%),1 (0.0%),,1 (0.0%),,5 (0.1%),3 (0.1%),6 (0.1%),6 (0.2%),15 (0.4%),
Initial mode for IMV n (%): blow by,35 (0.1%),,2 (0.1%),2 (0.1%),2 (0.1%),6 (0.2%),4 (0.1%),2 (0.1%),5 (0.1%),2 (0.1%),6 (0.1%),,4 (0.1%),,
"fio2_set, median [Q1,Q3]","0.40 [0.27,0.53]","0.40 [0.27,0.50]","0.40 [0.27,0.50]","0.40 [0.27,0.51]","0.40 [0.28,0.50]","0.40 [0.28,0.53]","0.40 [0.30,0.55]","0.40 [0.30,0.55]","0.40 [0.28,0.50]","0.35 [0.27,0.50]","0.40 [0.30,0.60]","0.40 [0.28,0.61]","0.33 [0.27,0.50]","0.33 [0.27,0.50]","0.30 [0.27,0.50]"
"peep_set, median [Q1,Q3]","5.00 [5.00,8.00]","5.00 [5.00,6.00]","5.00 [5.00,7.00]","5.00 [5.00,8.00]","5.00 [5.00,7.00]","5.00 [5.00,6.19]","5.00 [5.00,7.00]","5.00 [5.00,7.25]","5.00 [5.00,7.25]","5.00 [5.00,7.50]","5.00 [5.00,10.00]","5.00 [5.00,10.00]","5.00 [5.00,8.00]","5.00 [5.00,8.00]","5.00 [5.00,8.00]"
"resp_rate_set, median [Q1,Q3]","16.00 [12.00,18.00]","12.00 [12.00,16.00]","14.00 [12.00,16.00]","14.00 [12.00,17.00]","14.00 [12.00,18.00]","14.00 [12.00,17.00]","14.00 [12.00,18.00]","16.00 [12.00,18.00]","16.00 [12.00,18.00]","16.00 [14.00,18.00]","16.00 [14.00,20.00]","16.00 [14.00,23.00]","16.00 [14.00,20.00]","16.00 [14.00,20.00]","16.00 [14.00,20.00]"
"tidal_volume_set, median [Q1,Q3]","500.00 [400.00,550.00]","500.00 [450.00,600.00]","540.00 [450.00,600.00]","500.00 [450.00,600.00]","500.00 [450.00,560.00]","500.00 [450.00,550.00]","500.00 [450.00,550.00]","500.00 [425.00,550.00]","500.00 [425.00,550.00]","500.00 [420.00,520.00]","450.00 [400.00,500.00]","450.00 [400.00,500.00]","450.00 [400.00,500.00]","450.00 [400.00,500.00]","450.00 [400.00,500.00]"
